location,fire_age4,fire_age3,fire_age2,fire_age1,fire_age0,Herbs,Shrub,Treed broadleaf,Treed conifer,Treed mixed,Water,Bryoid,Rock,year,week,n_days_effort,Barren-ground Caribou,gray_wolf,grizzly_bear,Muskox,camera,cluster,elevation,esker_camera_distances
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,9,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,10,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,11,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,12,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,13,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,14,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,15,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,16,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,17,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,18,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,19,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,20,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,21,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,22,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,23,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,24,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,25,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,26,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,27,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,28,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,29,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,30,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,31,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
BMS-TLU-081-02,1,0,0,0,0,0,0.35714285714285715,0,0.6428571428571429,0,0,0,0,2022,32,7,0,0,0,0,02,BMS-TLU-081,278.7212219238281,14399.73046875
